M02.1.0006	GROW
M02.1.0137	EVERYTHING WENT REAL SMOOTH THE SHERIFF SAID 
M02.1.0138	ATE
M02.1.0139	WRITE
M02.1.0140	HATE
M02.1.0141	THIS WAS EASY FOR US 
M02.1.0142	WHOOP
M02.1.0143	NO
M02.1.0144	DROP
M02.1.0145	DROOP
M02.1.0146	SLIP
M02.1.0147	SWAY
M02.1.0148	SHOUT
M02.1.0149	SHOOT
M02.1.0150	ARE YOUR GRADES HIGHER OR LOWER THAN NANCY'S 
M02.1.0151	FRUIT
M02.1.0152	YOU'D BE BETTER OFF TAKING A COLD SHOWER
M02.1.0154	THE ISLANDS ARE SPARSELY POPULATED
M02.1.0155	KNOT
M02.1.0156	POT
M02.1.0157	BOOT
M02.1.0158	THREE
M02.1.0159	PLAY
M02.1.0160	SPRINKLE
M02.1.0161	MUT
M02.1.0162	WERE
M02.1.0163	WE'RE
M02.1.0164	DOT
M02.1.0165	SUIT
M02.1.0166	SINGLE
M02.1.0167	PAD
M02.1.0168	IF YOU DESTROY CONFIDENCE IN BANKS YOU DO SOMETHING TO THE ECONOMY HE SAID
M02.1.0169	ALL THE BIG BASEBALL PLAYERS GET TRADED
M02.1.0170	PAY
M02.1.0171	CHEER
M02.1.0172	I CAN PLAY THIS WEEKEND
M02.1.0173	I FEEL I CAN PLAY THIS WEEKEND
M02.1.0174	THEY CARRIED ME OFF ON THE STRETCHER
M02.1.0175	WRITE
M02.1.0176	WILL ROBIN WEAR A YELLOW LILY 
M02.1.0177	WITCH
M02.1.0178	SHEAR
M02.1.0179	NEAR
M02.1.0180	STEER
M02.1.0181	BAD
M02.1.0182	GALORE
M02.1.0183	BRIGHT SUNSHINE SHIMMERS ON THE OCEAN 
M02.1.0184	WE GATHERED SHELLS ON THE BEACH
M02.1.0185	HE WILL ALLOW A RARE LIE 
M02.1.0186	CHARLIE
M02.1.0187	WISH
M02.1.0188	ATE
M02.1.0189	LIGHT
M02.1.0190	KNEW
M02.1.0191	TIE
M02.1.0192	THROUGH
M02.1.0193	THOUGH
M02.1.0194	TEAR
M02.1.0195	FLOOR
M02.1.0196	THEIR HOUSE IS GREY AND WHITE
M02.1.0197	NOTHING IS AS OFFENSIVE AS IGNORANCE
M02.1.0199	SLAY
M02.1.0200	SNOOP
M02.1.0201	SIGH
M02.1.0202	ROCKS
M02.1.0203	SHE IS THINNER THAN I AM 
M02.1.0204	URGENT
M02.1.0205	JUNGLE
M02.1.0206	BEAR
M02.1.0207	SUIT
M02.1.0208	JUST ONE SIDE GOT WET
M02.1.0209	PILE
M02.1.0210	YOU'RE USED TO BEING ON THE FIELD
M02.1.0211	FORWARD
M02.1.0212	FOUR
M02.1.0213	PEER
M02.1.0214	DELTA
M02.1.0215	I LOOKED UP AND NOTICED TWO OLD MEN
M02.1.0216	SLIP
M02.1.0217	I WAS CONSCIOUS ALL THE TIME
M02.1.0218	PRIOR
M02.1.0219	TILE
M02.1.0220	FEAR
M02.1.0221	BACK
M02.1.0222	ONE VALIDATED ACT OF SCHOOL DISTRICTS 
M02.1.0223	MERE
M02.1.0224	FATE
M02.1.0225	BAT
M02.1.0226	MOTHER SEWS YELLOW GINGHAM APRONS
M02.1.0227	MUCH
M02.1.0228	KNOW
M02.1.0230	ROCK
M02.1.0231	ROCK
M02.1.0232	JANE MAY EARN MORE MONEY BY WORKING HARD 
M02.1.0233	SIGH
M02.1.0234	TROOP
M02.1.0235	ROOT
M02.1.0236	I SCRUBBED THE FLOORS THOROUGHLY
M02.1.0237	THIGH
M02.1.0238	THE TRAIN APPROACHED THE DEPOT SLOWLY
M02.1.0239	DEER
M02.1.0240	EXPLORE
