F_Data.F01.1.0005	FEE
F_Data.F01.1.0133	BOTH FIGURES WOULD GO HIGHER IN LATER YEARS
F_Data.F01.1.0134	CHARLIE
F_Data.F01.1.0135	MUT
F_Data.F01.1.0136	TROOP
F_Data.F01.1.0137	HERE
F_Data.F01.1.0138	WISH
F_Data.F01.1.0140	ATE
F_Data.F01.1.0141	HEAR
F_Data.F01.1.0142	POT
F_Data.F01.1.0143	SLIP
F_Data.F01.1.0144	SLIP
F_Data.F01.1.0145	SLIP
F_Data.F01.1.0146	WHITE
F_Data.F01.1.0147	MOTHER SEWS YELLOW GINGHAM APRONS
F_Data.F01.1.0148	I JUST TRY TO DO MY BEST
F_Data.F01.1.0149	BAD
F_Data.F01.1.0150	WHERE WERE YOU WHILE WE WERE AWAY 
F_Data.F01.1.0151	DEER
F_Data.F01.1.0152	DROOP
F_Data.F01.1.0153	GROUP
F_Data.F01.1.0154	BAD
F_Data.F01.1.0155	NEAR
F_Data.F01.1.0156	CHEER
F_Data.F01.1.0157	THIGH
F_Data.F01.1.0158	SINGLE
F_Data.F01.1.0159	IF YOU DESTROY CONFIDENCE IN BANKS YOU DO SOMETHING TO THE ECONOMY HE SAID
F_Data.F01.1.0160	BAT
F_Data.F01.1.0161	TEAR
F_Data.F01.1.0162	COUPE
F_Data.F01.1.0163	WRITE
F_Data.F01.1.0164	THE TRAIN APPROACHED THE DEPOT SLOWLY
F_Data.F01.1.0165	NO
F_Data.F01.1.0166	THE ISLANDS ARE SPARSELY POPULATED
F_Data.F01.1.0167	AREA
F_Data.F01.1.0168	STEER
F_Data.F01.1.0169	TILE
F_Data.F01.1.0170	SELECT
F_Data.F01.1.0171	SWEET
F_Data.F01.1.0172	SUIT
F_Data.F01.1.0173	OF
F_Data.F01.1.0174	YOU'RE USED TO BEING ON THE FIELD
F_Data.F01.1.0175	FORWARD
F_Data.F01.1.0176	ROOT
F_Data.F01.1.0177	MY SISTER MADE THE FLOWERED CURTAINS
F_Data.F01.1.0178	THREE
F_Data.F01.1.0179	PAT
F_Data.F01.1.0180	BRIGHT SUNSHINE SHIMMERS ON THE OCEAN 
F_Data.F01.1.0181	ATE
F_Data.F01.1.0182	PAY
F_Data.F01.1.0183	LIGHT
F_Data.F01.1.0184	TWO OTHER CASES ALSO WERE UNDER ADVISEMENT 
F_Data.F01.1.0185	MUCH
F_Data.F01.1.0186	HATE
F_Data.F01.1.0187	WHOOP
F_Data.F01.1.0188	WHOOP
F_Data.F01.1.0189	KNOW
F_Data.F01.1.0190	ROCK
F_Data.F01.1.0191	WHY YELL OR WORRY OVER SILLY ITEMS 
F_Data.F01.1.0192	TOOT
F_Data.F01.1.0193	KNOT
F_Data.F01.1.0194	FATE
F_Data.F01.1.0195	WERE
F_Data.F01.1.0196	WE'RE
F_Data.F01.1.0197	CHILD WHO DOESN'T WANT TO EAT DOESN'T LIKE THE FOOD BABY IN A HIGHCHAIR
F_Data.F01.1.0198	JUST ONE SIDE GOT WET
F_Data.F01.1.0199	AIR
