M01.2_3.0001	ONE
M01.2_3.0103	THEIR HOUSE IS GREY AND WHITE
M01.2_3.0104	PRIOR
M01.2_3.0105	THIS WAS EASY FOR US 
M01.2_3.0106	SINGLE
M01.2_3.0107	EXPLORE
M01.2_3.0108	SPRINKLE
M01.2_3.0109	YOU'D BE BETTER OFF TAKING A COLD SHOWER
M01.2_3.0110	OF
M01.2_3.0111	IF YOU DESTROY CONFIDENCE IN BANKS YOU DO SOMETHING TO THE ECONOMY HE SAID
M01.2_3.0112	FRUIT
M01.2_3.0113	NOTHING IS AS OFFENSIVE AS INNOCENCE 
M01.2_3.0114	NO
M01.2_3.0115	WILL ROBIN WEAR A YELLOW LILY 
M01.2_3.0116	NEAR
M01.2_3.0117	BRIGHT SUNSHINE SHIMMERS ON THE OCEAN 
M01.2_3.0118	MUT
M01.2_3.0119	DELTA
M01.2_3.0120	MENU
M01.2_3.0121	ALL THE BIG BASEBALL PLAYERS GET TRADED
M01.2_3.0122	TEAR
M01.2_3.0123	SLAY
M01.2_3.0124	SLIP
M01.2_3.0125	MY SISTER MADE THE FLOWERED CURTAINS
M01.2_3.0126	FOUR
M01.2_3.0127	WHY YELL OR WORRY OVER SILLY ITEMS 
M01.2_3.0128	MUCH
M01.2_3.0129	THE TRAIN APPROACHED THE DEPOT SLOWLY
M01.2_3.0130	WRITE
M01.2_3.0131	ROCKS
M01.2_3.0133	COPE
M01.2_3.0134	COUPE
M01.2_3.0135	WHITE
M01.2_3.0136	CHEER
M01.2_3.0137	ATE
M01.2_3.0138	PAD
M01.2_3.0139	KNOW
M01.2_3.0140	WE'RE
M01.2_3.0141	SWAY
M01.2_3.0142	YES
M01.2_3.0143	TOOT
M01.2_3.0144	HEAR
M01.2_3.0145	YOU'RE USED TO BEING ON THE FIELD
M01.2_3.0146	EVERYTHING WENT REAL SMOOTH THE SHERIFF SAID 
M01.2_3.0147	WRITE
M01.2_3.0148	LOOP
M01.2_3.0149	JUNGLE
M01.2_3.0150	SIDE
M01.2_3.0151	WHOOP
M01.2_3.0152	HE WILL ALLOW A RARE LIE 
M01.2_3.0153	DOT
M01.2_3.0154	SELECT
M01.2_3.0155	LIGHT
M01.2_3.0156	THE BOY IS TALKING TO THE DOG
M01.2_3.0157	DARN
M01.2_3.0158	BARN
M01.2_3.0159	THIS IS NOT A PROGRAM OF SOCIAL CAN I START OVER AGAIN SORRY
M01.2_3.0160	THIS IS NOT A PROGRAM OF SOCIALIZED MEDICINE
M01.2_3.0161	SIGH
M01.2_3.0162	LEAK
M01.2_3.0163	HARK
M01.2_3.0164	ECHO
M01.2_3.0165	IT ALSO PROVIDES FOR FUNDS TO CLEAR SLUMS AND HELP COLLEGES BUILD DORMITORIES
M01.2_3.0166	THE LITTLE SCHOOLHOUSE STOOD EMPTY
M01.2_3.0167	ALIMONY HARMS A DIVORCED MAN'S WEALTH
M01.2_3.0168	SIGN
M01.2_3.0170	AT
M01.2_3.0171	CART
M01.2_3.0172	BIT
M01.2_3.0173	WE RODE HORSEBACK TO THE FARM
M01.2_3.0174	THE DOLPHINS SWAM AROUND OUR BOAT
M01.2_3.0175	FAT
M01.2_3.0176	ZERO
M01.2_3.0177	DAY AFTER DAY SOME NEW EPISODE IS REPORTED
M01.2_3.0178	TELL
M01.2_3.0179	IT EVENTUALLY BECAME A RATHER PROUD CLAIM
M01.2_3.0181	HE FURTHER PROPOSED GRANTS OF AN UNSPECIFIED SUM FOR EX EXPERIMENTAL HOSPITALS
M01.2_3.0182	BLOAT
M01.2_3.0183	SERGEANT
M01.2_3.0184	LAIR
M01.2_3.0185	THE MISGUIDED SOULS HAVE LOST THEIR WAY
M01.2_3.0186	OSCAR
M01.2_3.0187	THERE IS A TREEHOUSE UP ABOVE
M01.2_3.0188	ALUMINUM SILVERWARE CAN OFTEN BE FLIMSY
M01.2_3.0189	QUEBEC
M01.2_3.0190	SHY
M01.2_3.0191	NOTHING HAS BEEN DONE YET TO TAKE ADVANTAGE OF THE ENABLING LEGISLATION
M01.2_3.0193	LOYAL
M01.2_3.0194	SEVEN
M01.2_3.0195	AT
M01.2_3.0196	PRETTY
M01.2_3.0197	EIGHT
M01.2_3.0198	HEM
M01.2_3.0199	JULIET
M01.2_3.0200	RICH
M01.2_3.0201	PIT
M01.2_3.0202	THIS IS A PERIOD OF TRANSITION FOR ME
M01.2_3.0203	CAKE
M01.2_3.0204	THORN
M01.2_3.0205	IF YOU ARE LOSING WATER REPLACE IT IMMEDIATELY
M01.2_3.0206	WHEN ALL ELSE FAILS USE FORCE
M01.2_3.0207	FILL
M01.2_3.0208	SHE WORE WARM FLEECY WOOLEN OVERALLS
M01.2_3.0209	NIGHT AFTER NIGHT THEY RECEIVED ANNOYING PHONE CALLS
M01.2_3.0210	REEK
M01.2_3.0211	SEEDS
M01.2_3.0212	FOXTROT
M01.2_3.0213	AND
M01.2_3.0214	MIKE
M01.2_3.0215	HOTEL
M01.2_3.0216	WRITTEN
M01.2_3.0217	KITTEN
M01.2_3.0218	PAPA
M01.2_3.0220	NOVEMBER
M01.2_3.0221	MUCH
M01.2_3.0222	I EXPECT WE'LL BOUNCE BACK THIS WEEK
M01.2_3.0223	FIVE
M01.2_3.0224	TOP
M01.2_3.0225	TAKE
M01.2_3.0226	CHOP
M01.2_3.0227	THE BOX CONTAINED THREE SWEATERS
M01.2_3.0228	HIM
M01.2_3.0229	MITTEN
M01.2_3.0230	FAT
M01.2_3.0231	GOLF
M01.2_3.0232	BEFORE THURSDAY'S EXAM REVIEW EVERY FORMULA
M01.2_3.0233	DART
M01.2_3.0234	LEAK
M01.2_3.0235	THE MUSEUM HIRES MUSICIANS EVERY EVENING
M01.2_3.0236	PART
M01.2_3.0237	NINE
M01.2_3.0238	SPARK
M01.2_3.0239	ALFALFA IS HEALTHY FOR YOU
M01.2_3.0240	THE JOB PROVIDES MANY BENEFITS
M01.2_3.0241	KILO
M01.2_3.0242	I HAVE HAD MY BELL RUNG
M01.2_3.0243	BITTEN
M01.2_3.0244	LEAK
M01.2_3.0246	THOUGHT
M01.2_3.0247	HUM
M01.2_3.0248	SPIT
M01.2_3.0249	THE BOOKS ARE VERY EXPENSIVE
M01.2_3.0250	SIDE
M01.2_3.0251	BRAWN
M01.2_3.0252	LIMA
M01.2_3.0253	PITTING
M01.2_3.0254	STUDENTS WATCHED AS HE GOT OUT
M01.2_3.0255	A ROLL OF WIRE LAY NEAR THE WALL
M01.2_3.0256	NO
M01.2_3.0257	START
M01.2_3.0258	PARK
M01.2_3.0259	HARP
M01.2_3.0260	SITTING
M01.2_3.0261	DARK
M01.2_3.0262	CARL LIVES IN A LIVELY HOME 
M01.2_3.0263	CITY
M01.2_3.0264	WITCH
M01.2_3.0265	HIM
M01.2_3.0266	KNITTING
M01.2_3.0267	VAT
M01.2_3.0268	IT WAS A GOOD WIN FOR US
M01.2_3.0269	SPAIN
M01.2_3.0270	SELL
M01.2_3.0271	HE WRAPPED THE PACKAGE HASTILY
M01.2_3.0272	HITTING
M01.2_3.0273	WITTY
M01.2_3.0274	WITTY
M01.2_3.0275	SWING YOUR ARM AS HIGH AS YOU CAN
M01.2_3.0276	MUSH
M01.2_3.0277	HEART
M01.2_3.0278	BOTH INJURIES WERE TO THE SAME LEG
M01.2_3.0279	LEAGUE
M01.2_3.0280	SIX
M01.2_3.0281	PIT
M01.2_3.0282	SEED
M01.2_3.0283	HAT
M01.2_3.0285	YES
M01.2_3.0286	BROUGHT
M01.2_3.0287	TICKER
